Date,Open,High,Low,Close,Volume
2021-12-20,3183.4553186745993,3198.5343770244094,3113.5150114130224,3154.982421875,2312310
2021-12-21,3177.82342259873,3229.7575276974712,3163.4096138189643,3200.5751953125,2340989
2021-12-22,3214.500519649866,3225.8542071800953,3198.7562083298367,3220.48779296875,1224328
2021-12-23,3235.7892150592515,3255.746796566607,3219.823149853367,3248.828125,1792861
2021-12-24,3268.607420082168,3286.347487491026,3232.949927901074,3256.1005859375,2209923
2021-12-27,3256.189982037391,3281.9130845923037,3240.312705357694,3278.453857421875,1534135
2021-12-28,3290.783263554562,3304.088317180793,3276.458242438429,3287.72314453125,1456218
2021-12-29,3275.039042693454,3299.6089991071835,3268.6082665922886,3277.212158203125,1456923
2021-12-30,3265.3707085089977,3317.393381737529,3264.173167057248,3311.849609375,1966475
2021-12-31,3319.8768098436235,3335.133227039575,3309.676269388582,3315.9296875,1207141
2022-01-03,3326.263417742371,3397.2237039875417,3321.828399852048,3386.35791015625,2346158
2022-01-04,3398.1989730548594,3449.689349616876,3380.9909763489923,3445.78662109375,2488606
2022-01-05,3428.2684327770844,3432.7034501545454,3381.611963344765,3424.676025390625,1733031
2022-01-06,3381.2578336506826,3401.658917117096,3345.777688491704,3377.221923828125,1810293
2022-01-07,3388.353012835328,3428.1793791658147,3367.419645820469,3418.067626953125,2460591
2022-01-10,3528.5004828256165,3528.5004828256165,3424.721056860157,3441.441162109375,3937092
2022-01-11,3420.2858084459604,3481.4890555369284,3420.2858084459604,3473.417236328125,1906106
2022-01-12,3481.4888900484816,3485.0369042039447,3403.0334703465164,3423.744873046875,3203744
2022-01-13,3475.2800304751445,3479.715048380294,3421.1728120323205,3457.451171875,6684507
2022-01-14,3439.6666946537052,3527.613007244821,3423.877988650264,3519.762939453125,3348123
2022-01-17,3541.539286003683,3586.1556110947845,3514.5744627618396,3565.00048828125,3442604
2022-01-18,3578.1277414958386,3585.002018651542,3530.2739457678194,3539.67626953125,2389041
2022-01-19,3564.9112784096897,3564.9112784096897,3474.722221889604,3478.40966796875,3102539
2022-01-20,3474.2781567850393,3483.1637786694,3386.3105001298686,3400.127685546875,6176776
2022-01-21,3382.756324156083,3422.3418138894167,3350.8570276785663,3406.30322265625,3112358
2022-01-24,3412.078809123836,3420.6533474824882,3323.311533128875,3351.0791015625,3258414
2022-01-25,3349.4351892399127,3384.8887339958196,3307.406154089975,3349.79052734375,3330501
2022-01-27,3315.2256551137434,3317.3581176759967,3221.1270024404544,3242.585693359375,5718297
2022-01-28,3239.6976603507437,3314.159213319958,3239.6976603507437,3278.8388671875,3143862
2022-01-31,3331.2197934091673,3339.2168534626967,3306.6953891380213,3319.890625,2739393
2022-02-01,3349.8796676041347,3383.6450329539907,3320.023889363237,3377.114013671875,2105169
2022-02-02,3401.327520629823,3433.4047062376403,3377.1141981026553,3426.473876953125,1984212
2022-02-03,3421.8529744416446,3449.842683269199,3390.7977694626597,3398.39501953125,1960538
2022-02-04,3390.1307014510608,3398.4830976239323,3348.9902367426243,3389.775146484375,2307366
2022-02-07,3368.539210961275,3404.7925911476827,3337.5727323379806,3357.87646484375,1919149
2022-02-08,3369.02776676185,3376.2694613033686,3306.339665487328,3326.287841796875,2946443
2022-02-09,3332.1078043912007,3356.9430711731097,3328.6424990482747,3341.482177734375,1638721
2022-02-10,3367.4729203279344,3367.4729203279344,3339.216600228163,3350.1904296875,2112459
2022-02-11,3334.3296693022535,3334.3296693022535,3278.794531572369,3283.19287109375,3851488
